name,oppName,runs,balls,four,six,sr,venue,date
Najibullah Zadran ,Pakistan,42,54,6,0,77.77,Leeds,Jun 29 2019
name,oppName,runs,balls,four,six,sr,venue,date
Najibullah Zadran ,Bangladesh,23,23,2,0,100.00,Southampton,Jun 24 2019
Najibullah Zadran ,New Zealand,4,3,1,0,133.33,Taunton,Jun 8 2019
Najibullah Zadran ,England,15,13,0,1,115.38,Manchester,Jun 18 2019
Najibullah Zadran ,Australia,51,49,7,2,104.08,Bristol,Jun 1 2019
Najibullah Zadran ,India,21,23,2,0,91.30,Southampton,Jun 22 2019
Najibullah Zadran ,West Indies,31,38,1,1,81.57,Leeds,Jul 4 2019
Najibullah Zadran ,Sri Lanka,43,56,6,0,76.78,Cardiff,Jun 4 2019
