name,oppName,runs,balls,four,six,sr,venue,date
Aaron Finch (c),England,100,116,11,2,86.20,Lord's,Jun 25 2019
Aaron Finch (c),South Africa,3,4,0,0,75.00,Manchester,Jul 6 2019
Aaron Finch (c),Bangladesh,53,51,5,2,103.92,Nottingham,Jun 20 2019
Aaron Finch (c),West Indies,6,10,0,0,60.00,Nottingham,Jun 6 2019
Aaron Finch (c),England,0,1,0,0,0.00,Birmingham,Jul 11 2019
Aaron Finch (c),Afghanistan,66,49,6,4,134.69,Bristol,Jun 1 2019
Aaron Finch (c),Sri Lanka,153,132,15,5,115.90,The Oval,Jun 15 2019
Aaron Finch (c),New Zealand,8,15,1,0,53.33,Lord's,Jun 29 2019
Aaron Finch (c),India,36,35,3,1,102.85,The Oval,Jun 9 2019
Aaron Finch (c),Pakistan,82,84,6,4,97.61,Taunton,Jun 12 2019
