name,oppName,runs,balls,four,six,sr,venue,date
David Warner ,England,53,61,6,0,86.88,Lord's,Jun 25 2019
David Warner ,South Africa,122,117,15,2,104.27,Manchester,Jul 6 2019
David Warner ,Bangladesh,166,147,14,5,112.92,Nottingham,Jun 20 2019
David Warner ,West Indies,3,8,0,0,37.50,Nottingham,Jun 6 2019
David Warner ,England,9,11,2,0,81.81,Birmingham,Jul 11 2019
David Warner ,Afghanistan,89,114,8,0,78.07,Bristol,Jun 1 2019
David Warner ,Sri Lanka,26,48,2,0,54.16,The Oval,Jun 15 2019
David Warner ,New Zealand,16,23,3,0,69.56,Lord's,Jun 29 2019
David Warner ,India,56,84,5,0,66.66,The Oval,Jun 9 2019
David Warner ,Pakistan,107,111,11,1,96.39,Taunton,Jun 12 2019
