name,oppName,runs,balls,four,six,sr,venue,date
Glenn Maxwell ,England,12,8,1,1,150.00,Lord's,Jun 25 2019
Glenn Maxwell ,South Africa,12,20,1,0,60.00,Manchester,Jul 6 2019
Glenn Maxwell ,Bangladesh,32,10,2,3,320.00,Nottingham,Jun 20 2019
Glenn Maxwell ,West Indies,0,2,0,0,0.00,Nottingham,Jun 6 2019
Glenn Maxwell ,England,22,23,2,1,95.65,Birmingham,Jul 11 2019
Glenn Maxwell ,Afghanistan,4,1,1,0,400.00,Bristol,Jun 1 2019
Glenn Maxwell ,Sri Lanka,46,25,5,1,184.00,The Oval,Jun 15 2019
Glenn Maxwell ,New Zealand,1,5,0,0,20.00,Lord's,Jun 29 2019
Glenn Maxwell ,India,28,14,5,0,200.00,The Oval,Jun 9 2019
Glenn Maxwell ,Pakistan,20,10,2,1,200.00,Taunton,Jun 12 2019
