name,oppName,runs,balls,four,six,sr,venue,date
Steven Smith ,England,38,34,5,0,111.76,Lord's,Jun 25 2019
Steven Smith ,South Africa,7,6,1,0,116.66,Manchester,Jul 6 2019
Steven Smith ,Bangladesh,1,2,0,0,50.00,Nottingham,Jun 20 2019
Steven Smith ,West Indies,73,103,7,0,70.87,Nottingham,Jun 6 2019
Steven Smith ,England,85,119,6,0,71.42,Birmingham,Jul 11 2019
Steven Smith ,Afghanistan,18,27,1,0,66.66,Bristol,Jun 1 2019
Steven Smith ,Sri Lanka,73,59,7,1,123.72,The Oval,Jun 15 2019
Steven Smith ,New Zealand,5,8,0,0,62.50,Lord's,Jun 29 2019
Steven Smith ,India,69,70,5,1,98.57,The Oval,Jun 9 2019
Steven Smith ,Pakistan,10,13,1,0,76.92,Taunton,Jun 12 2019
