name,oppName,runs,balls,four,six,sr,venue,date
Ben Stokes ,India,79,54,6,3,146.29,Birmingham,Jun 30 2019
Ben Stokes ,New Zealand,84,98,5,2,85.71,Lord's,Jul 14 2019
Ben Stokes ,Australia,89,115,8,2,77.39,Lord's,Jun 25 2019
Ben Stokes ,New Zealand,11,27,0,0,40.74,Chester-le-Street,Jul 3 2019
Ben Stokes ,West Indies,10,6,2,0,166.66,Southampton,Jun 14 2019
Ben Stokes ,Afghanistan,2,6,0,0,33.33,Manchester,Jun 18 2019
Ben Stokes ,Sri Lanka,82,89,7,4,92.13,Leeds,Jun 21 2019
Ben Stokes ,Pakistan,13,18,1,0,72.22,Nottingham,Jun 3 2019
Ben Stokes ,Bangladesh,6,7,0,0,85.71,Cardiff,Jun 8 2019
Ben Stokes ,South Africa,89,79,9,0,112.65,The Oval,May 30 2019
