name,oppName,runs,balls,four,six,sr,venue,date
Chris Woakes ,India,7,5,1,0,140.00,Birmingham,Jun 30 2019
Chris Woakes ,New Zealand,2,4,0,0,50.00,Lord's,Jul 14 2019
Chris Woakes ,Australia,26,34,2,0,76.47,Lord's,Jun 25 2019
Chris Woakes ,New Zealand,4,11,0,0,36.36,Chester-le-Street,Jul 3 2019
Chris Woakes ,West Indies,40,54,4,0,74.07,Southampton,Jun 14 2019
Chris Woakes ,Afghanistan,1,1,0,0,100.00,Manchester,Jun 18 2019
Chris Woakes ,Sri Lanka,2,4,0,0,50.00,Leeds,Jun 21 2019
Chris Woakes ,Pakistan,21,14,1,1,150.00,Nottingham,Jun 3 2019
Chris Woakes ,Bangladesh,18,8,0,2,225.00,Cardiff,Jun 8 2019
Chris Woakes ,South Africa,13,14,1,0,92.85,The Oval,May 30 2019
