name,oppName,runs,balls,four,six,sr,venue,date
Eoin Morgan (c),India,1,9,0,0,11.11,Birmingham,Jun 30 2019
Eoin Morgan (c),New Zealand,9,22,0,0,40.90,Lord's,Jul 14 2019
Eoin Morgan (c),Australia,4,7,1,0,57.14,Lord's,Jun 25 2019
Eoin Morgan (c),New Zealand,42,40,5,0,105.00,Chester-le-Street,Jul 3 2019
Eoin Morgan (c),Afghanistan,148,71,4,17,208.45,Manchester,Jun 18 2019
Eoin Morgan (c),Australia,45,39,8,0,115.38,Birmingham,Jul 11 2019
Eoin Morgan (c),Sri Lanka,21,35,2,0,60.00,Leeds,Jun 21 2019
Eoin Morgan (c),Pakistan,9,18,1,0,50.00,Nottingham,Jun 3 2019
Eoin Morgan (c),Bangladesh,35,33,1,2,106.06,Cardiff,Jun 8 2019
Eoin Morgan (c),South Africa,57,60,4,3,95.00,The Oval,May 30 2019
