name,oppName,runs,balls,four,six,sr,venue,date
Joe Root ,India,44,54,2,0,81.48,Birmingham,Jun 30 2019
Joe Root ,New Zealand,7,30,0,0,23.33,Lord's,Jul 14 2019
Joe Root ,Australia,8,9,2,0,88.88,Lord's,Jun 25 2019
Joe Root ,New Zealand,24,25,1,0,96.00,Chester-le-Street,Jul 3 2019
Joe Root ,West Indies,100,94,11,0,106.38,Southampton,Jun 14 2019
Joe Root ,Afghanistan,88,82,5,1,107.31,Manchester,Jun 18 2019
Joe Root ,Australia,49,46,8,0,106.52,Birmingham,Jul 11 2019
Joe Root ,Sri Lanka,57,89,3,0,64.04,Leeds,Jun 21 2019
Joe Root ,Pakistan,107,104,10,1,102.88,Nottingham,Jun 3 2019
Joe Root ,Bangladesh,21,29,1,0,72.41,Cardiff,Jun 8 2019
Joe Root ,South Africa,51,59,5,0,86.44,The Oval,May 30 2019
