name,oppName,runs,balls,four,six,sr,venue,date
Jonny Bairstow ,India,111,109,10,6,101.83,Birmingham,Jun 30 2019
Jonny Bairstow ,New Zealand,36,55,7,0,65.45,Lord's,Jul 14 2019
Jonny Bairstow ,Australia,27,39,5,0,69.23,Lord's,Jun 25 2019
Jonny Bairstow ,New Zealand,106,99,15,1,107.07,Chester-le-Street,Jul 3 2019
Jonny Bairstow ,West Indies,45,46,7,0,97.82,Southampton,Jun 14 2019
Jonny Bairstow ,Afghanistan,90,99,8,3,90.90,Manchester,Jun 18 2019
Jonny Bairstow ,Australia,34,43,5,0,79.06,Birmingham,Jul 11 2019
Jonny Bairstow ,Sri Lanka,0,1,0,0,0.00,Leeds,Jun 21 2019
Jonny Bairstow ,Pakistan,32,31,4,1,103.22,Nottingham,Jun 3 2019
Jonny Bairstow ,Bangladesh,51,50,6,0,102.00,Cardiff,Jun 8 2019
Jonny Bairstow ,South Africa,0,1,0,0,0.00,The Oval,May 30 2019
