name,oppName,runs,balls,four,six,sr,venue,date
Martin Guptill ,West Indies,0,1,0,0,0.00,Manchester,Jun 22 2019
Martin Guptill ,South Africa,35,59,5,0,59.32,Birmingham,Jun 19 2019
Martin Guptill ,England,19,18,2,1,105.55,Lord's,Jul 14 2019
Martin Guptill ,England,8,16,1,0,50.00,Chester-le-Street,Jul 3 2019
Martin Guptill ,Afghanistan,0,1,0,0,0.00,Taunton,Jun 8 2019
Martin Guptill ,Sri Lanka,73,51,8,2,143.13,Cardiff,Jun 1 2019
Martin Guptill ,Pakistan,5,4,1,0,125.00,Birmingham,Jun 26 2019
Martin Guptill ,Bangladesh,25,14,3,1,178.57,The Oval,Jun 5 2019
Martin Guptill ,Australia,20,43,2,0,46.51,Lord's,Jun 29 2019
Martin Guptill ,India,1,14,0,0,7.14,Manchester,Jul 9 - 10 2019
